StartYear,meanYear,count_5yrMin,sppRich,sppRich_stdev,sppRich_se,turnover,turnover_stdev,turnover_se,abun,abun_stdev,abun_se,sppRichRare,sppRichRare_stdev,sppRichRare_se,S_PIE,S_PIE_stdev,S_PIE_se,ShanH,ShanH_stdev,ShanH_se,FRich,FRich_stdev,FRich_se,FEve,FEve_stdev,FEve_se,FTurnO,FTurnO_stdev,FTurnO_se,FDiv,FDiv_stdev,FDiv_se,RaoQ,RaoQ_stdev,RaoQ_se
1988,1992.5,265,0.418490576,1.637790116,0.100608647,-0.007197167,0.039955954,0.002454475,-0.016575133,0.092865972,0.005704711,0.259923297,1.143010983,0.070214607,0.006204385,0.053994028,0.003316827,0.01884943,0.112757667,0.006926648,0.038456194,0.135206339,0.008305659,0.000916386,0.025304303,0.001554431,-0.000134276,0.017882564,0.001098517,-0.00476887,0.027460168,0.001686865,-0.100714315,2.545422974,0.15636409
1989,1993.5,342,0.14607356,1.485811232,0.08034347,-0.002342466,0.036516994,0.001974613,-0.013480206,0.099902571,0.005402112,0.084847002,1.093430848,0.059125969,0.00390229,0.054996509,0.002973871,0.014037189,0.115907194,0.006267543,0.015492357,0.126631692,0.006847458,-0.000683566,0.026761312,0.001447086,0.000487186,0.017596224,0.000951495,-0.002296932,0.024559452,0.001328023,0.093949874,2.310832006,0.124955484
1990,1994.5,406,0.1070662,1.384105594,0.068692007,-0.004896698,0.03796562,0.001884202,-0.0131907,0.101910476,0.005057732,0.055719528,0.977491351,0.048512081,0.005618098,0.04585842,0.002275915,0.013678492,0.095515159,0.004740338,0.015328285,0.137652161,0.006831562,0.000934058,0.027895906,0.001384451,0.000263116,0.016671589,0.000827397,0.000337954,0.020731165,0.00102887,0.196270606,2.008030951,0.099656903
1991,1995.5,521,0.127894168,1.414097461,0.061952735,-0.008120317,0.036921569,0.001617563,-0.002010786,0.095466036,0.004182443,0.03027712,1.036331055,0.045402488,0.003569196,0.048712204,0.00213412,0.010589624,0.099206947,0.004346335,0.006739659,0.140060447,0.00613616,0.000657341,0.025454977,0.001115203,0.000124692,0.018284888,0.000801075,0.004013021,0.023599445,0.00103391,0.219955263,1.947888003,0.085338523
1992,1996.5,601,0.124133218,1.386611377,0.056561058,-0.006600293,0.031660997,0.001291479,0.006635935,0.085828675,0.003501025,-0.023319215,1.064886871,0.043437641,0.001329425,0.045131069,0.001840935,0.004290145,0.092267458,0.003763668,0.010747126,0.131535782,0.005365456,0.000226805,0.025175423,0.001026927,-0.000209437,0.01737999,0.000708945,0.002838937,0.020772898,0.000847344,0.15595378,1.822557166,0.074343657
1993,1997.5,649,0.149968261,1.247063509,0.048951525,-0.008833249,0.033331511,0.001308376,0.00071274,0.081189146,0.003186953,0.07408814,0.944789183,0.037086219,-0.000165537,0.044992559,0.001766112,0.00287743,0.090081582,0.003536011,0.008158666,0.107819077,0.004232269,0.001255661,0.024207413,0.000950224,-0.000198232,0.015007552,0.000589098,0.001834158,0.022056769,0.000865804,0.043711462,1.82613922,0.071682235
1994,1998.5,764,0.257011142,1.325755371,0.047964146,-0.002879941,0.036495967,0.001320378,0.006621204,0.082319961,0.002978232,0.092215395,0.885234471,0.032026659,-0.000415177,0.045356798,0.001640951,0.003063738,0.093692984,0.003389693,0.017456687,0.113161927,0.004094055,0.001297719,0.022115311,0.000800104,-0.000544518,0.015741307,0.0005695,0.00257454,0.019576966,0.00070827,0.263670173,2.282408222,0.082574631
1995,1999.5,825,0.588445441,1.418989673,0.049402879,0.002100028,0.034180987,0.001190029,0.012344268,0.0785243,0.002733865,0.251066437,1.031947192,0.03592779,0.00117519,0.04491536,0.001563752,0.010429538,0.094391255,0.003286282,0.029644541,0.099160347,0.00345232,0.000440542,0.020597485,0.000717112,-0.000791722,0.013453732,0.000468399,0.002957963,0.019327411,0.000672894,0.126592368,2.047061325,0.071269527
1996,2000.5,822,0.665079465,1.427590167,0.049792925,-0.002146703,0.029745693,0.0010375,0.011395198,0.074817225,0.00260955,0.273612203,1.014869843,0.035397651,0.002497717,0.042511203,0.001482748,0.012431106,0.091260185,0.003183064,0.031848176,0.094430576,0.003293645,2.66E-05,0.019731369,0.000688211,-0.001838692,0.012100293,0.000422046,0.002910906,0.019239435,0.000671052,0.067175573,2.013051603,0.070213238
1997,2001.5,835,0.631155924,1.504749729,0.052074012,-0.002055396,0.02541089,0.00087938,0.007857407,0.072407929,0.00250578,0.310764231,1.016758405,0.035186376,0.003983806,0.041648077,0.001441291,0.016044174,0.089158295,0.00308545,0.029505295,0.103697383,0.003588596,0.000330596,0.019432903,0.000672503,-0.001868875,0.011754923,0.000406796,0.002468276,0.019048925,0.000659215,0.005630312,2.036768338,0.070485275
1998,2002.5,882,0.560300849,1.357982175,0.045725638,0.001063788,0.02461439,0.00082881,0.008998809,0.076647731,0.002580863,0.245244413,0.935023454,0.031483877,0.001666314,0.039418586,0.001327293,0.010508619,0.081785711,0.002753868,0.027049472,0.106243108,0.003577392,-0.000198869,0.019105674,0.000643322,-0.000678612,0.01250317,0.000421004,0.001056364,0.017077729,0.000575037,0.115344944,1.897231025,0.063883092
1999,2003.5,942,0.585582177,1.401403859,0.045660205,0.000376439,0.027134979,0.000884105,0.011974416,0.075258446,0.002452053,0.251687742,0.940921631,0.030656883,-0.000171376,0.040246106,0.001311289,0.007325515,0.083211774,0.002711186,0.028669232,0.095039383,0.00309655,-0.001657346,0.017732734,0.000577764,-0.000924017,0.013351151,0.000435004,-0.000399969,0.015259503,0.000497181,-0.047160259,1.768422297,0.057618312
2000,2004.5,993,0.604516213,1.364321254,0.043295426,0.001069104,0.025211485,0.000800062,0.017611031,0.077169827,0.00244891,0.185338588,0.965552647,0.030640887,0.001479344,0.040794482,0.001294574,0.009784688,0.082718046,0.002624978,0.029278175,0.101597297,0.003224093,-0.003565215,0.018035945,0.000572353,-0.000566836,0.0128919,0.000409112,-0.000415272,0.015894757,0.000504405,-0.004149369,1.864830601,0.05917861
2001,2005.5,1063,0.433849325,1.34747461,0.041328911,-0.002014027,0.025863689,0.000793275,0.013534325,0.074969018,0.002299404,0.097917075,0.848541501,0.026025942,0.000659014,0.037818078,0.001159933,0.006278,0.076967949,0.002360713,0.019975839,0.095117472,0.002917384,-0.003767228,0.018614585,0.000570935,-0.001145422,0.013010767,0.000399058,0.000397594,0.016459695,0.000504842,-0.010514287,1.719512846,0.052739838
2002,2006.5,1215,0.316119944,1.461063241,0.041916101,-0.003499421,0.026884241,0.000771276,0.015151172,0.076359864,0.00219067,0.030111049,0.970056214,0.027829715,-0.000162092,0.042762591,0.001226806,0.003888786,0.088880882,0.002549883,0.017199421,0.099598473,0.002857357,-0.003052896,0.018158451,0.000520944,-0.001491032,0.013368904,0.000383537,0.000739805,0.017683299,0.000507312,-0.054294279,1.955111536,0.056089736
2003,2007.5,1315,0.327323469,1.45434359,0.040105519,-0.005278943,0.023222894,0.000640403,0.016311871,0.070301316,0.001938655,0.030682442,0.908378094,0.025049772,-0.000112683,0.038578603,0.001063858,0.002931048,0.080988897,0.00223338,0.020153175,0.093895755,0.002589304,-0.003377691,0.016951305,0.000467455,-0.00146364,0.012385275,0.000341541,0.000171215,0.016137055,0.000445001,0.023166371,1.791867439,0.049413202
2004,2008.5,1339,0.184064911,1.321291331,0.036108404,-0.003972251,0.021574399,0.000589588,0.015152541,0.06500188,0.001776379,-0.027228395,0.829599915,0.022671404,-0.001695822,0.035542247,0.000971303,-0.002493101,0.074165748,0.00202681,0.013029701,0.083452179,0.002280591,-0.002294023,0.015073481,0.00041193,-0.0009301,0.010743316,0.000293595,0.000793576,0.013791,0.000376882,-0.062520099,1.53213881,0.041870469
2005,2009.5,1398,0.137819014,1.23686568,0.033080263,-0.000388877,0.023934902,0.000640145,0.012953224,0.060319963,0.001613272,-0.022779906,0.800351113,0.021405578,-0.00066239,0.033883164,0.000906213,-0.000222966,0.070710933,0.00189118,0.013549176,0.076858597,0.002055601,-0.001942166,0.014027793,0.000375177,-0.000537184,0.010087776,0.0002698,0.000325757,0.013429257,0.000359169,-0.068533248,1.48135584,0.03961921
2006,2010.5,1451,0.175515661,1.150903584,0.030213792,-0.003103004,0.02183957,0.000573338,0.008885576,0.059426916,0.001560089,0.028149442,0.773928123,0.020317343,0.00102891,0.03255638,0.000854678,0.002499275,0.066829915,0.001754435,0.013566911,0.072293716,0.001897872,-0.001763293,0.013314876,0.000349545,-0.000877456,0.009507514,0.000249593,0.000205755,0.013145153,0.00034509,-0.081005462,1.487686096,0.039055086
2007,2011.5,1498,0.140413029,1.203439916,0.031093421,-0.003593153,0.02274964,0.000587785,0.003164734,0.059163367,0.001528611,0.077580982,0.814671894,0.021048775,0.001927595,0.033180511,0.000857289,0.005117439,0.068003291,0.001757009,0.008693158,0.068949037,0.001781445,-0.000727566,0.013436712,0.000347166,-0.001276179,0.009658649,0.000249552,0.00047871,0.013587457,0.000351061,-0.113354156,1.506699631,0.038928778
2008,2012.5,1486,0.101651001,1.212619408,0.031456841,-0.003486,0.021075875,0.000546734,-0.0012762,0.057075932,0.00148062,0.089302452,0.887545485,0.023024023,0.002402689,0.033718083,0.000874689,0.006279962,0.070735236,0.001834959,0.00618544,0.071498285,0.001854754,0.000433707,0.013680921,0.0003549,-0.00112948,0.009666581,0.000250763,0.000781833,0.013525056,0.000350857,-0.023442248,1.545735218,0.040098276
2009,2013.5,1451,-0.004564963,1.212516432,0.031831267,-0.000898034,0.020476865,0.000537563,-0.006626643,0.055723477,0.001462866,0.046273776,0.896949453,0.023546928,0.001407336,0.035159456,0.000923014,0.002930368,0.073624773,0.001932815,-0.000160542,0.071808634,0.001885137,0.00153964,0.014160481,0.000371744,-0.00048977,0.009321874,0.00024472,0.000841135,0.014556658,0.000382145,-0.016470818,1.655736969,0.043466797
2010,2014.5,1397,0.014204488,1.276578221,0.034154602,-0.000585018,0.021941116,0.00058703,-0.005918541,0.061612281,0.001648425,0.054213403,0.9605864,0.025700302,0.001885069,0.037699919,0.001008654,0.003860493,0.079376244,0.002123696,-0.000722705,0.075411289,0.002017614,0.001881269,0.01544285,0.00041317,-3.78E-05,0.009417905,0.000251974,0.000762613,0.016032016,0.000428933,-0.019436657,1.782341721,0.047686206
2011,2015.5,1273,-0.025488047,1.453402976,0.040735387,-7.88E-05,0.023725475,0.000664968,-0.01058292,0.068571237,0.001921887,0.069663263,1.037755912,0.0290858,0.002708379,0.04029713,0.001129432,0.004935273,0.085238889,0.002389041,-0.000601428,0.079484586,0.002227762,0.002605844,0.01646313,0.000461422,-0.000201956,0.010147557,0.000284412,0.000650847,0.017550131,0.000491888,0.067767978,1.918513538,0.053771316
2012,2016.5,1119,-0.048672217,1.75299409,0.052404117,0.000204066,0.02676806,0.000800206,-0.015925042,0.075365945,0.002252994,0.142303822,1.188984019,0.035543564,0.005208039,0.044855513,0.001340914,0.010980502,0.095889718,0.002866533,-0.001227011,0.090217694,0.002696973,0.002690291,0.018729609,0.000559904,-0.000315708,0.011908938,0.000356007,0.001275331,0.019925833,0.000595664,0.179562645,2.206555702,0.065962917
2013,2017.5,950,-0.056673798,1.951980004,0.063330594,-0.000799341,0.032342329,0.001049324,-0.018431051,0.08302486,0.002693682,0.096342416,1.382413702,0.044851423,0.004898682,0.052594852,0.001706402,0.010168469,0.110658052,0.003590221,0.000383058,0.102173412,0.003314943,0.002819404,0.02168267,0.000703479,-0.000289835,0.013115801,0.000425533,0.001083136,0.022720566,0.000737153,0.399180805,2.511334171,0.08147844
2014,2018.5,609,-0.103879614,2.026315139,0.082110433,-0.009446451,0.036730251,0.001488385,-0.003302496,0.083959084,0.003402194,-0.026797466,1.414135888,0.057303678,0.002253199,0.052919969,0.002144425,0.002015917,0.107470046,0.004354906,-0.002567485,0.096314837,0.003902874,0.000713357,0.021790386,0.000882991,-5.37E-05,0.013554141,0.000549242,0.002142934,0.023350929,0.000946227,0.222247757,2.549471081,0.103309782
2015,2019.5,397,0.022943468,2.25521587,0.11318604,-0.021264834,0.044628066,0.002239818,0.02029982,0.098597472,0.004948465,-0.079414882,1.632930656,0.08195444,0.004090093,0.059476075,0.002985019,0.005929544,0.124614888,0.006254242,0.006634876,0.121816261,0.006113783,0.0001328,0.026208035,0.001315344,-0.0003364,0.01621089,0.000813601,0.002353215,0.027596193,0.001385013,0.456398719,2.668352375,0.133920767
