site,study_id,Site_name,Country,River,Data_owner,Longitude_X,Latitude_Y,sampling_method_long,unit,Starting_year,Ending_year,Year_count,Sampling_years,Min_month,Max_month,season,TaxonomicRes,abund_alienSpp,SppRich_alienSpp,abundProportion_alienSpp,SppRichProportion_alienSpp,Max of spp_richness_perYr,Min of spp_richness_perYr,total_sppRich_AllYrs,total_abund_AllYrs,ppt_Est,tmax_Est,ppt_Est_gls,ppt_SE_gls,tmax_Est_gls,tmax_SE_gls,MacrobasinID,MicrobasinID,microbasin_area_km2,strahler_streamOrder,accumulation_atPoint,accumulation_min,accumulation_max,accumulation_range,accumulation_mean,accumulation_stddev,elevation_atPoint,elevation_min,elevation_max,elevation_range,elevation_mean,elevation_stddev,slope_atPoint,slope_min,slope_max,slope_range,slope_mean,slope_stddev,crop_meanPerc_subcatch,forest_meanPerc_subcatch,grassShrubland_meanPerc_subcatch,urban_meanPerc_subcatch,water_meanPerc_subcatch,crop_meanPerc_upstr,forest_meanPerc_upstr,grassShrubland_meanPerc_upstr,urban_meanPerc_upstr,water_meanPerc_upstr,dam_impact_score_lessthan100km,dam_minDist_km_lessthan100km,dam_num_connected_lessthan100km,dam_impact_score_AllDams,dam_minDist_km_allDams,dam_num_connected_AllDams,aet_mm_12moPrior,ppt_mm_12moPrior,tmax_C_12moPrior,tmin_C_12moPrior
100000012,France_2,2041650,France,ZINSEL DU NORD,Mathieu Floury,7.592563171,48.91860206,IBGN,,1997,2016,20,12,8,9,summer,family,NA,NA,NA,NA,38,26,57,51052,-3.010956925,0.037669173,-2.514939423,4.240061468,0.036444777,0.022655671,1097310,16403912,0.157981529,4,60.84699,0.005650377,89.938591,89.93294063,23.4525998,37.60411983,180.1,180.1000061,213.6000061,33.5,188.9964333,8.729976268,0,0,0.180824898,0.180824898,0.065041205,0.053630082,0.384920333,0,0,0.615079667,0,0.017707753,0.951999433,0.023009,0.005890698,0.00139342,0,NoDam,0,17.01500023,231.1964909,23,601.3,870.3,14.375,5.48875
100000013,France_2,2045150,France,SAUER,Mathieu Floury,7.75710979,49.04431811,IBGN,,1997,2016,20,12,7,9,summer,family,NA,NA,NA,NA,48,26,62,22748,-3.023232169,0.038308271,-2.626512049,4.41529119,0.036674971,0.022660527,1097310,15009008,0.112564588,5,93.76523,0.005634279,95.1206665,95.11503222,18.86307424,37.6905813,206.4,206.4000092,296,89.59999084,246.1050072,30.39045015,0,0,0.493826475,0.493826475,0.206412822,0.154282188,0,1,0,0,0,0.002396867,0.981821734,0.0099883,0.005792798,0,0,NoDam,0,14.981222,271.5476692,20,591.25,904.15,14.26083333,5.281666667
100000014,France_2,2047500,France,LAUTER,Mathieu Floury,7.902803052,49.04319903,IBGN,,1997,2016,20,13,7,9,summer,family,NA,NA,NA,NA,37,21,53,48097,-3.18852052,0.038734336,-2.626130384,4.469764201,0.037315954,0.022870342,1097310,17003754,0.42211692,5,274.8339,0.005628097,275.0267029,275.0210748,26.84689061,80.13081887,170.5,166.6999969,322.8999939,156.1999969,211.4413363,40.15727707,0.034879792,0,0.501773199,0.501773199,0.177367377,0.127566299,0,1,0,0,0,0.005833103,0.965130422,0.012821335,0.016213928,0,0,NoDam,0,30.01562204,257.4322019,40,593.25,929.85,14.34083333,5.349166667
100000015,France_2,2049900,France,CLEURIE,Mathieu Floury,6.703332127,48.05790591,IBGN,,1993,2016,24,15,7,9,summer,family,NA,NA,NA,NA,31,14,56,30534,-1.400297701,0.044688406,-1.292872449,4.545603954,0.044695016,0.017294722,1097310,7617291,0.097559874,5,60.54712,0.005848731,60.8924408,60.88659206,14.3211249,25.73570989,465.3,465.3000183,526.2000122,60.8999939,477.3176593,16.59564959,0,0,0.184495647,0.184495647,0.066582752,0.06307553,0,0,1,0,0,0.03336189,0.8803017,0.085797175,0.000538175,0,0,NoDam,0,2.950578644,1034.795114,6,609.25,1162.416667,12.74097222,4.245138889
100000016,France_2,2051600,France,NEUNE,Mathieu Floury,6.760989544,48.18509979,IBGN,,1992,2016,25,18,7,9,summer,family,NA,NA,NA,NA,48,16,67,37423,-0.014794922,0.041660256,0.233599102,3.947935777,0.041661756,0.016612146,1097310,8086833,0.143116077,5,94.46302,0.006821053,94.6843338,94.67751275,18.92031537,37.80566069,440.4,440.3999939,486.2000122,45.80001831,454.0560046,12.36608699,0,0,0.176870407,0.176870407,0.071868314,0.052442726,0.271111111,0.008888889,0.72,0,0,0.072129564,0.610342679,0.311539332,0.005988354,0,0,NoDam,0,6.464719065,1025.476192,13,591.36,1000.96,13.53033333,4.847333333
100000017,France_2,2057600,France,BRENON,Mathieu Floury,6.139495842,48.53057291,IBGN,,1992,2016,25,14,6,8,summer,family,NA,NA,NA,NA,43,18,65,32700,0.629919239,0.037217949,0.987539465,3.248714962,0.03725621,0.01500684,1097310,13951315,0.216065203,5,142.1851,0.005685695,142.4943085,142.4886228,28.82128794,55.96062392,229.9,229.4000092,258.7000122,29.30000305,231.4210566,4.7279222,0,0,0.215705001,0.215705001,0.014834519,0.035425531,0.68421,0,0.315789,0,0,0.40492712,0.1233284,0.46510204,0.006639846,0,0,NoDam,0,17.67263018,172.7606388,30,558.56,802.64,14.89733333,6.003
100000018,France_2,2061500,France,MEURTHE,Mathieu Floury,6.975323307,48.18445676,IBGN,,1992,2016,25,19,7,9,summer,family,NA,NA,NA,NA,38,18,58,121985,0.194569723,0.040987179,0.298652792,3.865590738,0.040984578,0.016766569,1097310,7558422,0.27478983,5,71.75629,0.005724606,101.3247604,101.3190358,17.4983223,30.39452093,468.6,463,517.5,54.5,475.5270894,11.06092608,0,0,0.148829893,0.148829893,0.043539157,0.036538192,0.175154519,0.199845481,0.625,0,0,0.026871672,0.894959196,0.064858991,0.013310638,0,0,NoDam,0,3.529082135,988.6549748,7,592.4,1003,13.223,4.777
100000019,France_2,2067600,France,VERDURETTE,Mathieu Floury,6.729182665,48.53977465,IBGN,,1992,2016,25,15,6,8,summer,family,NA,NA,NA,NA,44,27,66,67380,0.620523976,0.039891026,0.716450248,3.106744466,0.03990532,0.015812056,1097310,12767933,0.159185962,1,64.83933,0.005687351,64.83933258,64.83364523,2.354481692,12.02530197,250.2,250.1999969,285.5,35.30000305,265.4964311,10.73041601,0,0,0.089953404,0.089953404,0.046751106,0.021123869,0.142857,0,0.857143,0,0,0.500015,0,0.499987,0,0,0,NoDam,0,5.782105232,603.2100529,10,562.92,814.72,14.57866667,5.680333333
100000020,France_2,2067800,France,VEZOUZE,Mathieu Floury,6.628408377,48.57951326,IBGN,,1995,2016,22,15,7,9,summer,family,NA,NA,NA,NA,45,25,68,65074,-1.286210879,0.04700734,-1.206589609,3.635912862,0.046960957,0.021281706,1097310,13751512,0.198819793,6,0.09095746,0.005680258,470.1141357,470.1084555,80.21136158,176.2908755,236.1,234.5,242.1000061,7.600006104,237.3371447,2.283366503,0.014686344,0,0.057827289,0.057827289,0.017468985,0.016059082,0.2571424,0,0.742857,0,0,0.285007927,0.409371103,0.297528091,0.006742023,0.00135053,0.266199153,73.38008467,1,22.70494883,73.38008467,38,561.5909091,810.2727273,14.66439394,5.706818182
100000021,France_2,2068800,France,MORTAGNE,Mathieu Floury,6.584674714,48.39720343,IBGN,,1995,2016,22,15,7,9,summer,family,NA,NA,NA,NA,42,22,66,47024,-1.437358121,0.047355543,-1.425603159,3.732287486,0.047362826,0.02106792,1097310,12808122,0.10261656,5,0.03055501,0.005702788,347.381897,347.3761942,70.84292624,134.5122745,263.1,259,290.6000061,31.6000061,265.9333394,10.00350066,0.044217682,0,0.197562078,0.197562078,0.04657689,0.061329304,0,0,1,0,0,0.145839432,0.623396948,0.218630602,0.011218198,0.000915023,0.11001918,88.99808204,1,18.47559373,88.99808204,32,569.0454545,836.8181818,14.79621212,5.762121212
100000022,France_2,2077200,France,RUPT DE MAD,Mathieu Floury,5.80552266,48.90726421,IBGN,,1992,2016,25,15,6,8,summer,family,NA,NA,NA,NA,45,23,71,39672,0.981771297,0.034352564,1.352204947,3.28436571,0.034425064,0.014679229,1097310,14435102,0.2031639,5,0.0121973,0.005734324,137.4479828,137.4422485,26.60031017,53.76035775,219.8,218.9000092,239.6999969,20.79998779,223.61667,4.82668939,0.00970624,0,0.14135547,0.14135547,0.03798903,0.035629681,0.3333336,0,0.666667,0,0,0.62800478,0.203051562,0.16514572,0.003799479,0,0,NoDam,0,18.44216491,180.5586653,30,536.28,734.68,14.76133333,6.147666667
100000023,France_2,2081000,France,SEILLE,Mathieu Floury,6.669578399,48.79639989,IBGN,,1992,2016,25,15,7,9,summer,family,NA,NA,NA,NA,33,13,57,59972,0.475356833,0.039782051,0.756754662,3.236918499,0.03977883,0.016755747,1097310,15163256,0.141411455,4,43.51727,0.005658,43.51726913,43.51161113,6.96953115,15.93440441,203.2,203.1999969,215.1000061,11.90000916,208.6560022,3.660611082,0.008741694,0,0.050688454,0.050688454,0.022027712,0.012639498,0.56,0,0.44,0,0,0.6835504,0.06339347,0.221931,0.00374818,0.02737729,0,NoDam,0,1.894356888,577.5565034,3,557.96,791.88,14.85433333,5.939666667
100000024,France_2,2099800,France,BLIES,Mathieu Floury,7.08033113,49.14902585,IBGN,,1997,2016,20,12,7,9,summer,family,NA,NA,NA,NA,34,19,59,24851,-2.972807409,0.037399749,-2.219140173,5.08278274,0.035760282,0.021986636,1097310,15507114,0.050547067,7,0.04334982,0.005616299,1871.340332,1871.334716,415.8653879,777.9695972,202,196.4000092,218,21.59999084,203.8000047,6.270208832,0.051401673,0,0.150356982,0.150356982,0.067428235,0.053806055,0.111111,0,0.477366037,0.411522963,0,0.2349888,0.448435565,0.243800626,0.07260877,0.00016646,0,NoDam,0,29.35863217,230.3234055,46,588.45,887.35,14.65541667,6.09
100000025,France_2,2100600,France,HORN,Mathieu Floury,7.472288499,49.12728909,IBGN,,1995,2015,21,15,7,9,summer,family,NA,NA,NA,NA,38,22,61,37798,-2.668864536,0.042164502,-3.106067482,4.470083896,0.042190889,0.024201428,1097310,12705216,0.4382873,4,79.21741,0.005621698,79.21740723,79.21178553,6.175418848,17.33447969,254.6,254.6000061,369.3000183,114.7000122,304.1269289,34.34930642,0,0,0.494780217,0.494780217,0.178773915,0.130605222,0.025641,0.884616,0.0897436,0,0,0.038659462,0.79241839,0.123927255,0.04499531,0,0,NoDam,0,8.648054853,560.4580858,15,575.5238095,878.1904762,13.95833333,5.107142857
100000026,France_2,2106500,France,MEUSE,Mathieu Floury,5.543815146,48.06819812,IBGN,,1992,2016,25,13,7,9,summer,family,NA,NA,NA,NA,35,15,65,37643,-0.020179376,0.039378205,0.291529497,3.581230807,0.039464424,0.014370575,1097310,10759455,0.0573795,3,9.663544,0.005898273,9.663543701,9.657645429,2.904437884,4.410335703,322,322,325.5,3.5,323.0500031,1.167261099,0.001078544,0,0.031275809,0.031275809,0.010355709,0.011536848,0,0,1,0,0,0.188236344,0.0130691,0.78013456,0.018563559,0,0,NoDam,0,0,NoDam,0,566.76,843.96,14.41066667,5.835666667
100000027,France_2,2106600,France,MEUSE,Mathieu Floury,5.614143274,48.24112566,IBGN,,1997,2016,20,12,7,9,summer,family,NA,NA,NA,NA,39,22,68,29561,-0.79070954,0.038758327,-0.436860044,4.87021895,0.036606978,0.01722992,1097310,11279026,0.274471738,6,0.01164414,0.00741274,369.2646179,369.2572052,79.06933451,145.927627,305.1,303.3000183,349.1000061,45.79998779,312.6062597,11.86230558,0.029721974,0,0.293724325,0.293724325,0.070849838,0.08095943,0.104167,0.039351889,0.856481222,0,0,0.212055926,0.126394372,0.655183041,0.006368343,0,0,NoDam,0,7.864145207,620.9968281,27,571.3157895,836.2631579,14.50438596,5.789473684
100000028,France_2,2106900,France,VAIR,Mathieu Floury,5.733337764,48.40248554,IBGN,,1997,2016,20,14,7,9,summer,family,NA,NA,NA,NA,50,23,62,35986,-0.642257994,0.036365915,-0.446433621,4.456795792,0.035042278,0.020679785,1097310,11910057,0.290725331,7,439.3381,0.005700377,439.4025879,439.3968875,68.23952989,158.1976212,284.3,282.6000061,320.7000122,38.1000061,293.7843233,10.01945687,0,0,0.205608262,0.205608262,0.058782015,0.053996801,0.5098042,0,0.490196,0,0,0.23266,0.228946512,0.52056157,0.017833005,0,0,NoDam,0,9.818251893,597.2286701,31,561.1,794.4,14.63666667,5.8225
100000029,France_2,2107900,France,MEHOLLE,Mathieu Floury,5.611098085,48.66449129,IBGN,,1997,2016,20,15,7,9,summer,family,NA,NA,NA,NA,46,26,70,43295,-0.676975172,0.032161654,-0.353875478,4.08102253,0.030605102,0.020001886,1097310,13099046,0.09073822,4,70.53822,0.005671264,70.53821564,70.53254437,17.62191339,30.46859934,249.4,249.4000092,260.3999939,10.99998474,252.2625027,2.808885354,0,0,0.076926803,0.076926803,0.024393863,0.022960867,1,0,0,0,0,0.580837675,0.365245819,0.0522932,0.001623411,0,0,NoDam,0,5.077258884,534.0034326,13,546.35,721.3,14.61791667,5.884583333
100000030,France_2,2115675,France,PIENNES,Mathieu Floury,5.746197961,49.38094467,IBGN,,1993,2016,24,17,7,9,summer,family,NA,NA,NA,NA,40,19,62,76792,-1.108644557,0.037525362,-0.813669028,4.439180497,0.037533321,0.016157422,1097310,12921206,0.206816442,5,0.09762172,0.005589897,48.61705017,48.61146027,7.445043099,17.05289609,257,256,290.8999939,34.8999939,272.9324349,12.12359946,0.010784784,0,0.196428086,0.196428086,0.079699944,0.065218163,1,0,0,0,0,0.891965725,0.00650319,0.0793045,0.02222663,0,0,NoDam,0,2.79723649,637.8088836,7,560.375,928.125,14.23229167,5.927083333
100000031,France_2,2115790,France,OTHAIN,Mathieu Floury,5.680895832,49.31679664,IBGN,,1993,2016,24,16,7,9,summer,family,NA,NA,NA,NA,34,11,59,96389,-1.291979179,0.036735507,-0.782792212,4.176741471,0.036749971,0.015812189,1097310,13959024,0.050375306,5,84.83215,0.005714095,84.83215332,84.82643923,18.85488746,35.25121587,229.8,229.8000031,238.4000092,8.600006104,233.2222256,3.1204637,0,0,0.055002466,0.055002466,0.027075499,0.020474275,0.555556,0,0.444444,0,0,0.897415808,0.06321722,0.0271842,0.012182674,0,0,NoDam,0,7.554098579,448.8390011,18,557.2083333,874.6666667,14.59131944,6.184375
100000032,France_2,2115900,France,LOISON,Mathieu Floury,5.329874291,49.48061661,IBGN,,1995,2016,22,15,7,9,summer,family,NA,NA,NA,NA,48,23,71,44300,0.679634829,0.031954639,0.711953441,5.115988092,0.032149826,0.019076299,1097310,16427964,0.61918597,6,0.01180041,0.005582002,349.7675476,349.7619656,58.62934148,127.4291215,181.5,179.6999969,242.6000061,62.90000916,194.8720742,15.71950881,0.019412646,0,0.467207633,0.467207633,0.099391792,0.096692535,0.78378401,0,0.216216,0,0,0.315881409,0.351723149,0.327048792,0.003024431,0.00232213,0,NoDam,0,18.95333909,355.1496527,41,572.3181818,928.5909091,14.54431818,6.010984849
100000033,France_2,3013300,France,VOULZIE,Mathieu Floury,3.235082367,48.48744272,IBGN,,1992,2016,25,17,7,9,summer,family,NA,NA,NA,NA,35,16,56,46833,0.735950188,0.028717949,1.37822535,3.488161929,0.029228186,0.011175558,1097270,25826922,0.068289898,6,107.1432,0.005701791,314.3511963,314.3454945,102.7083529,125.3089473,59.9,59.90000153,70.09999847,10.19999695,62.65000121,3.411866341,0,0,0.058053053,0.058053053,0.021761398,0.024251675,0.583334,0.416667,0,0,0,0.92474564,0.0520923,0.000798794,0.022362984,0,0,NoDam,0,5.221210289,151.5838285,6,527.52,610.8,16.14966667,6.675666667
100000034,France_2,3013660,France,AUXENCE,Mathieu Floury,3.17338224,48.44092834,IBGN,,1997,2016,20,10,7,9,summer,family,NA,NA,NA,NA,38,23,61,55675,-0.912502013,0.023389724,0.327553795,4.995792671,0.021675536,0.015516247,1097270,26453249,0.125313767,5,75.1337,0.005695974,75.15608978,75.15039381,23.90460883,34.98432437,51.7,51.70000076,56,4.299999237,53.55000062,1.475173216,0,0,0.039004379,0.039004379,0.016843457,0.013339548,1,0,0,0,0,0.766247,0.211294,0.00034241,0.022116825,0,0,NoDam,0,1.686809306,173.7578713,2,528.4,608.3,16.34791667,6.828333333
100000035,France_2,3014130,France,AUBE,Mathieu Floury,5.080157244,47.77753501,IBGN,,1997,2015,19,14,6,7,summer,family,NA,NA,NA,NA,45,22,69,26949,0.476413613,0.028991228,1.373392718,5.359284414,0.026064294,0.021774747,1097270,10095404,0.098091989,4,30.21529,0.007880179,45.103302,45.09542182,9.739684331,17.80434226,345.5,344.1000061,389.1000061,45,355.3705947,11.2119585,0,0,0.370296519,0.370296519,0.094099719,0.089653719,0.176471,0.823529,0,0,0,0.164631032,0.806145375,0.029223537,0,0,0,NoDam,0,0,NoDam,0,576.8947368,836.3157895,14.35921053,5.904824561
100000036,France_2,3015000,France,AUBE,Mathieu Floury,4.795337458,48.14423615,IBGN,,1992,2015,24,18,6,8,summer,family,NA,NA,NA,NA,51,15,78,36158,-0.498527206,0.030572464,-0.139635171,3.810677995,0.030830692,0.013549674,1097270,15863997,0.08020822,6,679.0743,0.00572917,679.482666,679.4769368,194.0632889,306.823953,189.6,188.6000061,193.1999969,4.599990845,190.8214329,1.325127512,0,0,0.032654751,0.032654751,0.014766834,0.011867092,0.888888889,0.111111111,0,0,0,0.369333708,0.595255178,0.031891764,0.00259278,0.000926463,0,NoDam,0,3.130108066,442.3870149,4,571.75,788.375,15.28402778,6.170138889
100000037,France_2,3017000,France,AUBE,Mathieu Floury,4.619353377,48.27172666,IBGN,,1992,2011,20,18,5,7,summer,family,NA,NA,NA,NA,48,13,77,58864,-3.237655121,0.036140351,-2.182974628,6.546788271,0.036205649,0.018569302,1097270,18648686,0.154303845,7,1472.732,0.005715617,1516.721924,1516.716208,167.540986,471.7630267,148.3,148.3000031,218,69.69999695,161.2703744,17.99606486,0,0,0.337678482,0.337678482,0.071152112,0.088334941,0.62963,0.37037,0,0,0,0.4529754,0.509250878,0.031971972,0.00500574,0.000796005,0,NoDam,0,3.179932162,410.3561747,4,562.3,775.4,15.49333333,6.285
100000038,France_2,3047445,France,ECOLE,Mathieu Floury,2.478848762,48.3873699,IBGN,,1997,2016,20,13,7,9,summer,family,NA,NA,NA,NA,44,19,65,63158,-2.376256787,0.018245614,-0.218623527,6.182105644,0.016655449,0.015203776,1097270,25552510,0.06272297,5,0.01087246,0.005702046,142.2059937,142.2002916,25.8605883,54.83666237,67.3,64.30000305,68.90000153,4.599998474,67.10909271,1.5370892,0.027212493,0,0.046915306,0.046915306,0.024626517,0.017221896,0,1,0,0,0,0.67205965,0.311550465,0.00133525,0.015057319,0,0,NoDam,0,2.513707561,259.881091,3,535.9,628,15.99583333,7.0775
100000039,France_2,3051500,France,ALMONT,Mathieu Floury,2.741157253,48.55882589,IBGN,,1992,2011,20,17,8,10,fall,family,NA,NA,NA,NA,33,20,53,30772,-2.307165502,0.027337093,-1.337884605,6.679792589,0.027797771,0.015134296,1097270,25708957,0.039779876,5,233.0327,0.006502099,233.337204,233.3307019,66.63418575,105.3359993,62.1,62.10000229,72.20000458,10.10000229,66.40000207,4.321045377,0,0,0.098174904,0.098174904,0.042225427,0.041244848,0.714286,0.285714,0,0,0,0.67944729,0.290674559,0.004050974,0.02421811,0.00160977,0,NoDam,0,4.29956258,235.301977,5,526.1,615.65,15.82708333,6.808333333
