country,Response,TaskID
Finland,turnover,316
France,turnover,317
Germany,turnover,318
Hungary,turnover,319
Ireland,turnover,320
Italy,turnover,321
Latvia,turnover,322
Luxemburg,turnover,323
Netherlands,turnover,324
Norway,turnover,325
Portugal,turnover,326
Spain,turnover,327
Sweden,turnover,328
Switzerland,turnover,329
UK,turnover,330
