site,study_id,Site_name,Country,River,Data_owner,Longitude_X,Latitude_Y,sampling_method_long,unit,Starting_year,Ending_year,Year_count,Sampling_years,Min_month,Max_month,season,TaxonomicRes,abund_alienSpp,SppRich_alienSpp,abundProportion_alienSpp,SppRichProportion_alienSpp,Max of spp_richness_perYr,Min of spp_richness_perYr,total_sppRich_AllYrs,total_abund_AllYrs,ppt_Est,tmax_Est,MacrobasinID,MicrobasinID,microbasin_area_km2,strahler_streamOrder,accumulation_atPoint,elevation_atPoint,slope_atPoint,crop_meanPerc_subcatch,urban_meanPerc_subcatch,dam_impact_score_lessthan100km,ppt_mm_12moPrior,tmax_C_12moPrior
100000048,France_2,3078510,France,MARSANGE,Mathieu Floury,2.746371013,48.72114153,IBGN,Ind/sample,1992,2011,20,15,6,8,summer,family,NA,NA,NA,NA,30,12,58,19966,-2.12447493,0.028872181,1097270,24094813,0.186924621,5,102.3476,82.6,0,1,0,0,622.15,15.61916667
100000049,France_2,3095000,France,ROGNON,Mathieu Floury,5.165190303,48.34375341,IBGN,Ind/sample,1993,2016,24,19,6,8,summer,family,NA,NA,NA,NA,47,18,68,51305,-0.603620038,0.036394928,1097270,14924475,0.587822757,6,0.007846139,210.5,0.024813464,0.495146,0,0.083887888,767.1666667,15.27604167
100000050,France_2,3109660,France,THEROUANNE,Mathieu Floury,2.963392679,49.02031902,IBGN,Ind/sample,1992,2011,20,18,6,8,summer,family,NA,NA,NA,NA,28,14,48,35587,-1.794847316,0.027781955,1097270,25651012,0.067569135,6,167.072,62.9,0,0.5,0.5,0,615.5,15.64583333
100000051,France_2,3114000,France,PETIT MORIN,Mathieu Floury,3.159559093,48.91606615,IBGN,Ind/sample,1996,2016,21,15,7,9,summer,family,NA,NA,NA,NA,42,32,66,54359,2.605766645,0.031017316,1097270,26239281,0.12413219,6,0.006198819,56.9,0.019955835,0.555555222,0.126262778,0,635.9047619,15.50833333
100000052,France_2,3116720,France,GRAND MORIN,Mathieu Floury,3.445770208,48.78299496,IBGN,Ind/sample,1997,2014,18,12,6,8,summer,family,NA,NA,NA,NA,41,19,57,29696,-1.173409172,0.019668043,1097270,20117337,0.169729127,6,0.005657655,132.5,0.031835336,1,0,0,636.3333333,15.55416667
100000053,France_2,3117310,France,GRAND MORIN,Mathieu Floury,3.222360334,48.79983322,IBGN,Ind/sample,1995,2007,13,10,9,10,fall,family,NA,NA,NA,NA,40,28,54,15708,0.955922442,0.063415751,1097270,23867319,0.096145342,6,0.02474764,89.3,0.034469185,0.9999995,0,0,636.9230769,15.60705128
100000054,France_2,3119590,France,AUBETIN,Mathieu Floury,3.145147942,48.73610554,IBGN,Ind/sample,1992,2006,15,13,8,10,fall,family,NA,NA,NA,NA,32,21,53,38874,-1.633918265,0.03860119,1097270,21636351,0.062290811,6,212.6439,111.7,0,1,0,0,633.2,15.44944444
100000055,France_2,3129020,France,OISE,Mathieu Floury,3.828471871,49.91011332,IBGN,Ind/sample,1992,2016,25,16,8,10,fall,family,NA,NA,NA,NA,46,15,76,39503,1.195541694,0.027038461,1097270,21291857,0.088470309,6,755.9219,116,0.018431018,0,0,0,807.44,14.58233333
100000056,France_2,3137685,France,THEVE,Mathieu Floury,2.383927063,49.15515367,IBGN,Ind/sample,1992,2015,24,19,6,8,summer,family,NA,NA,NA,NA,33,17,60,48381,-0.124425836,0.023539855,1097270,28454248,0.314473149,6,0.005615671,26.3,0.023734596,0.111111037,0,0,621.0416667,15.70798611
100000057,France_2,3140400,France,VIOSNE,Mathieu Floury,1.98546323,49.08701255,IBGN,Ind/sample,1994,2014,21,20,7,9,summer,family,NA,NA,NA,NA,46,26,71,24400,-0.916006781,0.020032468,1097270,26124475,0.118092965,1,0.01400894,52.4,0.113385386,0.380952,0,0,647.2857143,15.45238095
100000058,France_2,3143225,France,SERRE,Mathieu Floury,4.259164499,49.73451506,IBGN,Ind/sample,1994,2016,23,10,8,10,fall,family,NA,NA,NA,NA,45,15,58,11949,-0.123870934,0.030080698,1097270,16544991,0.099894115,4,14.68643,177.8,0,0,0,0,863.3478261,14.57862319
100000059,France_2,3167000,France,SAUSSERON,Mathieu Floury,2.171782498,49.12597218,IBGN,Ind/sample,1994,2016,23,21,7,9,summer,family,NA,NA,NA,NA,34,20,61,59997,-0.306474158,0.020759223,1097270,27856517,0.162948033,5,101.8284,32.5,0,0.103448,0.203065222,0,654.5652174,15.49565217
100000060,France_2,3171880,France,VAUCOULEURS,Mathieu Floury,1.692093978,48.92749142,IBGN,Ind/sample,1994,2016,23,19,7,9,summer,family,NA,NA,NA,NA,38,19,56,55554,-1.155312134,0.020067523,1097270,26537899,0.011282862,2,0.06027751,48.8,0.003628294,1,0,0,629.1304348,15.53188406
100000061,France_2,3172000,France,VAUCOULEURS,Mathieu Floury,1.723234771,48.98019369,IBGN,Ind/sample,1992,2013,22,13,8,10,fall,family,NA,NA,NA,NA,33,17,52,30352,-0.975321596,0.014295125,1097270,28557447,0.05071811,6,185.948,22.6,0,0,1,0,609.8181818,15.93636364
100000062,France_2,3174695,France,MESANGUEVILLE,Mathieu Floury,1.686931075,49.5329023,IBGN,Ind/sample,1995,2016,22,11,6,8,summer,family,NA,NA,NA,NA,33,17,57,19765,1.083319668,0.011325993,1097270,22416435,0.267488682,4,0.01474441,106.6,0.0399116,0.208333,0,0,724,15.07689394
100000063,France_2,3175000,France,EPTE,Mathieu Floury,1.710584196,49.40230173,IBGN,Ind/sample,1993,2016,24,16,6,8,summer,family,NA,NA,NA,NA,48,24,70,54550,-0.691029909,0.023525362,1097270,24761307,0.240250965,5,0.01803163,80.4,0.045354154,0.3023253,0,0,719.3333333,15.01701389
100000064,France_2,3176945,France,LEVRIERE,Mathieu Floury,1.735334469,49.27208116,IBGN,Ind/sample,1992,2016,25,14,7,9,summer,family,NA,NA,NA,NA,30,15,49,34185,0.395609932,0.022282051,1097270,26852540,0.10083998,6,315.1969,45.2,0,0.555556,0,0,659.16,15.43933333
100000065,France_2,3178000,France,EPTE,Mathieu Floury,1.645113805,49.11983613,IBGN,Ind/sample,1996,2016,21,13,7,9,summer,family,NA,NA,NA,NA,42,18,61,53179,1.127041395,0.019491342,1097270,28702536,0.348414235,7,1378.55,19.1,0,0.543608037,0.166069,0,639.2857143,15.54801587
100000066,France_2,3180100,France,ANDELLE,Mathieu Floury,1.324057651,49.35275564,IBGN,Ind/sample,1992,2016,25,15,6,8,summer,family,NA,NA,NA,NA,33,19,50,40971,0.572859666,0.020692308,1097270,28804644,0.061524507,6,3.168433,21.8,0.02912882,0.363636,0,0,715.12,15.41533333
100000067,France_2,3187000,France,EURE,Mathieu Floury,1.291245721,48.44839118,IBGN,Ind/sample,1995,2016,22,15,6,8,summer,family,NA,NA,NA,NA,43,23,73,33720,-0.734989387,0.012347073,1097270,18045089,0.728993475,5,309.8164,155,0,1,0,0,633.8636364,15.63484849
100000068,France_2,3191700,France,EURE,Mathieu Floury,1.240275918,49.10292765,IBGN,Ind/sample,1992,2015,24,15,7,9,summer,family,NA,NA,NA,NA,43,19,62,65966,-0.192050931,0.02234058,1097270,28584210,0.084322198,7,4528.48,22.2,0,1,0,0,640.75,15.50763889
100000069,France_2,3194620,France,AVRE,Mathieu Floury,1.018208855,48.73073027,IBGN,Ind/sample,1994,2016,23,15,7,9,summer,family,NA,NA,NA,NA,44,23,68,50987,-1.581042167,0.019993412,1097270,19208856,0.113274947,6,412.2745,139,0,1,0,0,664.8695652,15.40615942
100000070,France_2,3197000,France,ITON,Mathieu Floury,0.761366922,48.76485544,IBGN,Ind/sample,1996,2015,20,11,7,9,summer,family,NA,NA,NA,NA,44,21,68,32669,-1.039886191,0.017631579,1097270,15750305,0.203740044,5,0.01570999,193.3,0.018141662,0.555556,0,0,703.25,15.31666667
100000071,France_2,3198530,France,ROULOIR,Mathieu Floury,0.953774483,48.96337592,IBGN,Ind/sample,1994,2016,23,14,7,9,summer,family,NA,NA,NA,NA,40,14,60,34854,-1.300482927,0.019614624,1097270,22032867,0.518640889,6,245.907,102.7,0,0.180756667,0.090982337,0,686.8695652,15.37826087
100000072,France_2,3199200,France,ITON,Mathieu Floury,1.151793141,49.08025542,IBGN,Ind/sample,1992,2016,25,15,7,9,summer,family,NA,NA,NA,NA,38,19,56,37930,0.490532058,0.021826923,1097270,26764338,0.196838595,7,1033.808,47.4,0,0.485714,0,0,654.12,15.41733333
100000073,France_2,3202250,France,CAILLY,Mathieu Floury,1.036967748,49.50829358,IBGN,Ind/sample,1993,2016,24,12,6,8,summer,family,NA,NA,NA,NA,30,16,48,48670,-1.29801717,0.021663044,1097270,27864250,0.100356939,6,189.2182,32.4,0,0.111111,0.786008259,0,775.75,15.39618056
100000074,France_2,3204000,France,AUSTREBERTHE,Mathieu Floury,0.896546,49.49984445,IBGN,Ind/sample,1994,2011,18,9,4,6,spring,family,NA,NA,NA,NA,29,16,38,23261,-5.826573522,0.019109047,1097270,29536076,0.200756707,6,208.0051,9.1,0,0.25,0,0,717.0555556,15.76203704
100000075,France_2,3205000,France,RANCON,Mathieu Floury,0.75545658,49.52952979,IBGN,Ind/sample,1995,2016,22,9,7,9,summer,family,NA,NA,NA,NA,38,16,48,17761,0.058638909,0.010855449,1097270,29396329,0.250788856,1,0.06858138,3.2,0,0.4,0,0,739.3181818,15.72462121
100000076,France_2,3208000,France,BRESLE,Mathieu Floury,1.594905325,49.94859734,IBGN,Ind/sample,1993,2015,23,13,6,8,summer,family,NA,NA,NA,NA,38,16,53,38125,-1.987259069,0.021170949,1087947,27287582,0.176803574,1,0.01100591,45.7,0.056254546,0.340277778,0.190972222,0,769.6956522,14.87717391
100000077,France_2,3212090,France,ARQUES BETHUNE,Mathieu Floury,1.138619346,49.88187384,IBGN,Ind/sample,1993,2015,23,11,7,9,summer,family,NA,NA,NA,NA,32,18,55,31700,-1.962024159,0.020512187,1096891,29550185,0.248971065,1,0.08840063,4.4,0,0.488888444,0.511111556,0,755.7826087,15.44601449
100000078,France_2,3214240,France,SCIE,Mathieu Floury,1.100409917,49.73154677,IBGN,Ind/sample,1994,2016,23,13,6,8,summer,family,NA,NA,NA,NA,29,22,49,39959,0.009055796,0.019655797,1089411,23816370,0.099902977,5,92.30217,86.3,0,0.555556,0,0,799,15.10217391
100000079,France_2,3216000,France,SAANE,Mathieu Floury,0.952933925,49.88276667,IBGN,Ind/sample,1994,2015,22,14,7,9,summer,family,NA,NA,NA,NA,29,19,52,72381,-1.754509469,0.01702428,1091623,30226269,0.138315359,6,193.8666,1.8,0,0,0.2,0,735.4090909,15.63560606
100000080,France_2,3217000,France,DURDENT,Mathieu Floury,0.626939569,49.83178396,IBGN,Ind/sample,1992,2015,24,14,7,9,summer,family,NA,NA,NA,NA,35,21,53,51978,-0.432464646,0.018597826,1092367,30115178,0.271377149,6,364.196,2.5,0,1,0,0,767.4583333,15.478125
100000081,France_2,3219780,France,RISLE,Mathieu Floury,0.723273401,48.83893208,IBGN,Ind/sample,1992,2016,25,15,6,8,summer,family,NA,NA,NA,NA,36,18,61,45980,0.278165945,0.022089744,1097270,17056470,0.028256689,5,0.05422134,172.3,0.043564387,1,0,0,720.32,15.286
100000082,France_2,3221500,France,RISLE,Mathieu Floury,0.729010593,49.15328408,IBGN,Ind/sample,1992,2016,25,13,6,8,summer,family,NA,NA,NA,NA,44,21,59,54636,0.67728265,0.020769231,1097270,25603049,0.32570773,7,0.005625009,63.1,0.002721277,0,0,0,715.6,15.51133333
100000083,France_2,3222000,France,RISLE,Mathieu Floury,0.568634335,49.34131611,IBGN,Ind/sample,1992,2016,25,13,6,8,summer,family,NA,NA,NA,NA,36,20,63,57792,0.49254398,0.02099359,1097270,29235369,0.179025593,2,1.619645,13.1,0,0,0,0,736.6,15.62866667
100000084,France_2,3223200,France,CHARENTONNE,Mathieu Floury,0.551485797,49.01502337,IBGN,Ind/sample,1992,2016,25,15,6,8,summer,family,NA,NA,NA,NA,42,28,64,66988,0.25450452,0.021717949,1097270,19959921,0.349141844,5,53.90656,132.1,0,0.112903,0,0,744.8,15.307
100000085,France_2,4000100,France,LOIRE,Mathieu Floury,4.19433153,44.82388941,IBGN,Ind/sample,1994,2014,21,14,6,8,summer,family,NA,NA,NA,NA,40,18,61,17585,-5.437557615,0.0275,1097534,990039,0.12180416,3,12.72265,1223.2,0.003237782,0.55,0,0,1181.285714,11.68134921
100000086,France_2,4000600,France,LOIRE,Mathieu Floury,3.919797028,44.88894437,IBGN,Ind/sample,1995,2015,21,14,6,8,summer,family,NA,NA,NA,NA,41,17,63,20105,-0.225860187,0.020595238,1097534,3719933,0.097331797,6,420.7159,770.7,0,0.3125,0,0,877.7619048,13.71547619
