"","response","StartYear","meanProp","lower95Prop","upper95Prop","MeanYear"
"40","FRed","2004",0.502308896210873,0.476935749588138,0.525535420098847,2008.5
"41","FRed","2005",0.510834796488428,0.489225857940942,0.534716679968077,2009.5
"42","FRed","2006",0.504701070336391,0.483161314984709,0.525993883792049,2010.5
"43","FRed","2007",0.504043446244477,0.48230854197349,0.525773195876289,2011.5
"44","FRed","2008",0.490740686632579,0.468224981738495,0.515704894083272,2012.5
"45","FRed","2009",0.488651389932382,0.465815176558978,0.511664162283997,2013.5
"46","FRed","2010",0.488447412353923,0.464920701168614,0.511707011686144,2014.5
"47","FRed","2011",0.490134957825679,0.462956888472352,0.514550140581068,2015.5
"51","FRic","1990",0.537937282229965,0.484320557491289,0.585365853658537,1994.5
"52","FRic","1991",0.528207865168539,0.485884831460674,0.570224719101124,1995.5
"53","FRic","1992",0.531421633554084,0.487858719646799,0.56953642384106,1996.5
"54","FRic","1993",0.544647398843931,0.508622350674374,0.583815028901734,1997.5
"55","FRic","1994",0.550159519725557,0.514579759862779,0.586620926243568,1998.5
"56","FRic","1995",0.572618421052632,0.543859649122807,0.603801169590643,1999.5
"57","FRic","1996",0.589079096045198,0.557909604519774,0.620056497175141,2000.5
"58","FRic","1997",0.60687982832618,0.577968526466381,0.636623748211731,2001.5
"59","FRic","1998",0.606887005649718,0.574858757062147,0.635593220338983,2002.5
"60","FRic","1999",0.594921122994652,0.562834224598931,0.627005347593583,2003.5
"61","FRic","2000",0.593841328413284,0.565805658056581,0.623616236162362,2004.5
"62","FRic","2001",0.581914252607184,0.55388180764774,0.609530706836616,2005.5
"63","FRic","2002",0.568028907922912,0.5406852248394,0.597430406852248,2006.5
"64","FRic","2003",0.544468144044321,0.518928901200369,0.568790397045245,2007.5
"65","FRic","2004",0.539516900247321,0.516879637262984,0.562262984336356,2008.5
"66","FRic","2005",0.542801276935355,0.520331205107741,0.565043894652833,2009.5
"67","FRic","2006",0.542298621745789,0.519908116385911,0.565084226646248,2010.5
"68","FRic","2007",0.540531664212077,0.517654639175258,0.564064801178203,2011.5
"69","FRic","2008",0.521497807017544,0.499269005847953,0.542397660818713,2012.5
"70","FRic","2009",0.503489105935387,0.481574004507889,0.527422990232908,2013.5
"71","FRic","2010",0.510858931552588,0.485809682804674,0.534223706176962,2014.5
"72","FRic","2011",0.501512652296157,0.47610121836926,0.525773195876289,2015.5
"76","spp_richness","1990",0.513145328719723,0.470588235294118,0.557093425605536,1994.5
"77","spp_richness","1991",0.49808077994429,0.462395543175487,0.534818941504178,1995.5
"78","spp_richness","1992",0.534969696969697,0.502164502164502,0.564935064935065,1996.5
"79","spp_richness","1993",0.555160305343511,0.524809160305344,0.587786259541985,1997.5
"80","spp_richness","1994",0.572964346349745,0.543293718166384,0.602716468590832,1998.5
"81","spp_richness","1995",0.614702034883721,0.587209302325581,0.643895348837209,1999.5
"82","spp_richness","1996",0.645325352112676,0.61830985915493,0.671830985915493,2000.5
"83","spp_richness","1997",0.662478571428571,0.635714285714286,0.688571428571429,2001.5
"84","spp_richness","1998",0.658128349788434,0.631875881523272,0.682686882933709,2002.5
"85","spp_richness","1999",0.6466435246996,0.620827770360481,0.671562082777036,2003.5
"86","spp_richness","2000",0.646143734643735,0.621621621621622,0.670761670761671,2004.5
"87","spp_richness","2001",0.623998845265589,0.599307159353349,0.646680138568129,2005.5
"88","spp_richness","2002",0.592863393810032,0.569903948772679,0.616862326574173,2006.5
"89","spp_richness","2003",0.558067219152855,0.534990791896869,0.57921270718232,2007.5
"90","spp_richness","2004",0.544720164609053,0.523456790123457,0.566255144032922,2008.5
"91","spp_richness","2005",0.545142857142857,0.525139664804469,0.564245810055866,2009.5
"92","spp_richness","2006",0.550056574923547,0.529032874617737,0.570336391437309,2010.5
"93","spp_richness","2007",0.550678203240059,0.531664212076583,0.571428571428571,2011.5
"94","spp_richness","2008",0.527079620160701,0.506939371804237,0.547132943754565,2012.5
"95","spp_richness","2009",0.50420811419985,0.483827948910594,0.523685199098422,2013.5
"96","spp_richness","2010",0.517585141903172,0.494991652754591,0.538397328881469,2014.5
"97","spp_richness","2011",0.500661668228679,0.477975632614808,0.524859418931584,2015.5
