resolution,response,Estimate,Est.Error,Q2.5,Q97.5
Genus,turnover,0.003369797,0.004861384,-0.006461411,0.013134847
Genus,unweightedabundance,0.000883523,0.011141687,-0.021281274,0.023526274
Genus,unweightedalienAbund,0.009427363,0.040737436,-0.072713966,0.089650262
Genus,unweightedalienSppRich,0.020788484,0.033259107,-0.047176243,0.088413807
Genus,unweightedE10,0.001034731,0.002921049,-0.00471579,0.00697547
Genus,unweightedEPTAbund,-0.000545204,0.012846764,-0.028107952,0.024157691
Genus,unweightedEPTSppRich,-0.022890034,0.14754286,-0.321557404,0.273598924
Genus,unweightedFto,0.002469993,0.027666441,-0.049818472,0.060855657
Genus,unweightedFDiv,0.00749177,0.00769758,-0.008781095,0.022161916
Genus,unweightedFEve,-0.001300076,0.00173981,-0.00498348,0.002191005
Genus,unweightedFRed,0.000987164,0.001119517,-0.001175309,0.003397421
Genus,unweightedFRic,-0.011298184,0.017445116,-0.046219217,0.0223367
Genus,unweightedinsectAbund,-0.00113786,0.011758042,-0.025594664,0.021929156
Genus,unweightedinsectSppRich,-0.073297459,0.227007825,-0.520234581,0.379212907
Genus,unweightedRaoQ,-0.219962574,0.24570129,-0.774122987,0.237381304
Genus,unweightedshannonsH,0.000683587,0.009911196,-0.019961368,0.02043807
Genus,unweightedSppRichRare,-0.011801846,0.127731793,-0.284091091,0.242722599
Genus,unweightedSppRich,-0.059102867,0.260088767,-0.579853308,0.457158458
Genus,unweightedturnover,0.002079808,0.003621113,-0.004697824,0.009983136
Species,abundNativeSpp,0.010692886,0.005629813,-0.000190239,0.02187447
Species,abundance,0.014504094,0.005635338,0.003820108,0.025759319
Species,alienAbund,0.044741879,0.019303529,0.006017021,0.083189198
Species,alienSppRich,0.065111721,0.022278992,0.020844516,0.110766553
Species,E10,-0.008250136,0.003669172,-0.015448965,-0.00128822
Species,EPTAbund,-0.004399933,0.012135612,-0.020610941,0.012696191
Species,EPTSppRich,0.068108147,0.009727589,0.053772531,0.081855358
Species,Fto,-0.024214514,0.012192009,-0.048243609,-0.000648152
Species,FDiv,0.004801877,0.008869349,-0.012888561,0.022556109
Species,FEve,-0.001681657,0.001198771,-0.004113953,0.00068295
Species,FRed,0.000763771,0.001125898,-0.001538849,0.00304625
Species,FRic,0.021117733,0.006877209,0.00808768,0.035421335
Species,insectAbund,0.014966703,0.005876215,0.003422631,0.026808889
Species,insectSppRich,0.29597103,0.110164614,0.084443996,0.52453924
Species,RaoQ,0.160425404,0.095744536,-0.04418826,0.347997842
Species,shannonsH,0.00401331,0.005564233,-0.007081165,0.015129726
Species,SppRichRare,0.229281636,0.147951748,-0.023546128,0.555157326
Species,SppRich,0.452481008,0.150089269,0.170424043,0.762318924
Species,SppRichNativeSpp,0.435699769,0.146713777,0.15173547,0.66438798
Species,turnover,-0.003947524,0.002580239,-0.008936035,0.001287421
Species,unweightedabundance,0.015057921,0.005455395,0.004782622,0.026690915
Species,unweightedalienAbund,0.048987773,0.025246021,-0.000789844,0.098635632
Species,unweightedalienSppRich,0.073362538,0.026674507,0.022011805,0.127183601
Species,unweightedE10,-0.005975992,0.001968252,-0.010208078,-0.002362763
Species,unweightedEPTAbund,0.010473518,0.005202197,9.06E-05,0.020523756
Species,unweightedEPTSppRich,0.084227205,0.06564867,-0.041894202,0.222741993
Species,unweightedFto,-0.023564636,0.010694761,-0.045253501,-0.002190994
Species,unweightedFDiv,0.008717205,0.007020963,-0.005249461,0.023018605
Species,unweightedFEve,-0.001469713,0.001301333,-0.004071323,0.00112847
Species,unweightedFRed,2.13E-05,0.000323137,-0.000605427,0.00068055
Species,unweightedFRic,0.022508092,0.006112813,0.010633603,0.035279757
Species,unweightedinsectAbund,0.015159095,0.005004861,0.0054087,0.025091318
Species,unweightedinsectSppRich,0.286960346,0.133928984,0.034615837,0.574129299
Species,unweightedRaoQ,0.162218805,0.071493346,0.022033975,0.309963131
Species,unweightedshannonsH,0.003671371,0.00618177,-0.00881088,0.01551387
Species,unweightedSppRichRare,0.192823235,0.115077218,-0.028703157,0.431020876
Species,unweightedSppRich,0.441793784,0.169693552,0.111116574,0.786620528
Species,unweightedturnover,-0.002982672,0.002454977,-0.008149391,0.001779403
