Lat50N,meanyear,site_count,sppRich,se_sppRich,abun,se_abun,turnover,se_turnover,sppRichRare,se_sppRichRare,S_PIE,se_S_PIE,ShanH,se_ShanH,FRich,se_FRich,FEve,se_FEve,FTurnO,se_FTurnO,FDiv,se_FDiv,RaoQ,se_RaoQ
north,2000.5,479,0.806057709,0.072188512,0.018262346,0.003098041,0.003985632,0.001404688,0.318309527,0.042900521,0.004416132,0.001879292,0.016824439,0.003986855,0.029874577,0.004542932,-0.001729348,0.000770507,-0.00101354,0.000532915,0.002739506,0.000758045,-0.01189308,0.094975435
north,2001.5,499,0.744128069,0.073859689,0.013622158,0.003002578,0.000468567,0.00112912,0.353722358,0.039858878,0.005189107,0.001770705,0.019338797,0.003729729,0.024072586,0.004907959,-0.001837558,0.000738158,-0.001560767,0.000497813,0.001861501,0.000700464,-0.218348854,0.091747633
north,2002.5,549,0.586448207,0.062144394,0.022159736,0.003037416,0.003938349,0.001073277,0.1933828,0.038061293,0.000439471,0.001680428,0.007170662,0.003451082,0.02356799,0.004578484,-0.00288933,0.000725637,0.000258481,0.000554361,0.000640988,0.000681291,-0.089480613,0.086255014
north,2003.5,612,0.582875211,0.063119122,0.022081594,0.002970323,0.001896216,0.001199145,0.17475755,0.037660537,-0.001270091,0.001665438,0.003827505,0.003380018,0.023884704,0.003801096,-0.004244619,0.000650422,-0.000433217,0.000605362,-0.000490069,0.000578792,-0.239749289,0.075677741
north,2004.5,656,0.603610444,0.05731276,0.023255024,0.002694913,0.003240181,0.001016894,0.171594156,0.038053033,0.000558378,0.001573394,0.008282538,0.003137426,0.027519539,0.003480802,-0.004593332,0.000650321,0.000178171,0.000492298,9.86472E-07,0.00051438,-0.183089822,0.073932143
north,2005.5,695,0.43077223,0.053518482,0.017007134,0.002482001,0.000855212,0.000997347,0.101711292,0.031632924,0.000935163,0.001312419,0.006157404,0.002608128,0.021682779,0.003279557,-0.004642763,0.000650542,-0.000309661,0.000461227,0.0004231,0.00051365,-0.076988645,0.066673723
north,2006.5,760,0.358735963,0.053756814,0.01473094,0.002393877,0.000917351,0.000907858,0.099496444,0.032856859,0.000882701,0.001377402,0.00535851,0.002855511,0.019253463,0.003219921,-0.003217616,0.000572838,-0.000560044,0.000438054,0.000834854,0.000521429,-0.118488327,0.069162341
north,2007.5,778,0.254234525,0.051255134,0.010712751,0.00216625,-0.002210798,0.000769517,0.050847742,0.030670837,-0.000364387,0.001267905,0.001529546,0.002635758,0.016594515,0.002804305,-0.002441691,0.000524076,-0.001120963,0.000375866,0.000165214,0.00046015,-0.113075668,0.060779819
north,2008.5,780,0.01007115,0.046822849,0.008312166,0.001920981,-0.000872176,0.000733022,-0.057972003,0.028678998,-0.002164211,0.001196612,-0.004588347,0.002465041,0.004926242,0.002528593,-0.00194599,0.000464701,-0.000277451,0.000345453,0.000467299,0.000397155,-0.104860732,0.052396419
north,2009.5,817,0.005530303,0.043730188,0.006332337,0.00180192,0.002987851,0.000800072,-0.030443,0.02716202,-0.000486266,0.001121486,0.000200522,0.002318356,0.00809884,0.002425237,-0.001701259,0.000420688,0.000299124,0.000322627,-0.000139545,0.000391912,-0.048747671,0.051421865
north,2010.5,842,0.10333904,0.041826026,0.00198459,0.001836242,0.00054142,0.000751113,0.059696021,0.026526283,0.002665915,0.001127388,0.005328319,0.002263943,0.009215453,0.002329319,-0.001466474,0.000406738,-0.000385865,0.000309213,6.26558E-06,0.000398053,-0.024997362,0.05188526
north,2011.5,868,0.129288662,0.041811039,-0.002764249,0.001786527,-0.004063615,0.000775795,0.144178395,0.027650574,0.003728452,0.001163669,0.008418315,0.002313454,0.002228381,0.002067047,-0.000843883,0.000395529,-0.001007389,0.000338569,-0.000572128,0.000428545,-0.164673409,0.052946316
north,2012.5,863,0.189095758,0.043313508,-0.000436118,0.001724881,-0.004324004,0.00072439,0.158975408,0.0293251,0.003097635,0.00113031,0.007830478,0.002264148,0.00205336,0.002098182,-0.00026491,0.000390938,-0.000544612,0.000331089,-0.000615255,0.000424994,-0.103825779,0.052899153
north,2013.5,849,0.04384162,0.042767419,-0.007958912,0.001633317,0.000215313,0.000712485,0.103591258,0.028601785,0.002003349,0.00114075,0.003819654,0.002312796,-0.005584426,0.002019299,0.000937355,0.000405965,-1.80849E-05,0.000296309,-0.000685435,0.000414673,-0.055557354,0.056059443
north,2014.5,826,0.115302104,0.044170886,-0.003442921,0.001807186,0.001190538,0.000724958,0.116616123,0.030464675,0.002911404,0.001193242,0.005389615,0.002421027,-0.003178977,0.002369087,0.00052326,0.000453829,0.000221351,0.000300295,-0.000220485,0.000465878,-0.046489442,0.058135326
north,2015.5,780,0.063922158,0.053826671,-0.006469218,0.002087401,0.001961701,0.000790208,0.116936641,0.035098052,0.003487392,0.001325986,0.006325381,0.002752455,-0.002881387,0.002498163,0.001377474,0.000484601,0.000106298,0.00032604,-0.000339485,0.000516976,0.086194742,0.067239432
north,2016.5,739,0.106447651,0.063900848,-0.007182919,0.002496645,0.003261371,0.000948622,0.20533913,0.039540281,0.005131457,0.001569905,0.010180243,0.003277417,-0.000302869,0.002905771,0.000843112,0.000578841,0.000268246,0.000399392,9.62503E-05,0.000606383,0.125990777,0.079687029
north,2017.5,659,0.112035789,0.077705243,-0.009395951,0.002955682,0.003083112,0.001236416,0.180697169,0.048748753,0.003328591,0.001970353,0.006614705,0.004096333,0.001584397,0.003678437,0.001141716,0.000740643,-9.45884E-05,0.000476878,7.65821E-05,0.000753053,0.308820905,0.097096381
north,2018.5,470,0.192219406,0.097989333,-0.004681428,0.003655462,-0.003605526,0.001581262,0.19776784,0.064122938,0.002410237,0.002505232,0.004899439,0.004956761,0.004361483,0.004005111,0.001262529,0.000927869,-0.000373636,0.00062731,0.000749742,0.000960469,0.052866664,0.117031695
north,2019.5,272,0.475295427,0.144665229,0.023634576,0.005898275,-0.004647486,0.001809631,0.182552295,0.101088873,0.002968284,0.00356249,0.006795227,0.007075691,0.017520269,0.005944267,-0.000860195,0.00135329,-0.000563484,0.000926865,0.001110543,0.001256758,0.364586871,0.141913067
north,2020.5,21,0.524709527,0.31202081,0.050964644,0.021334239,-0.004269517,0.007935172,0.166463625,0.194959626,0.008395925,0.011359462,0.021782599,0.022380993,0.029411991,0.051854751,-0.005866984,0.007012773,-0.004590793,0.004311747,-0.002209921,0.004096662,1.386553532,0.555201103
south,1980.5,1,0.00195396,#DIV/0!,0.045169572,#DIV/0!,0.025412088,#DIV/0!,-0.385089802,#DIV/0!,0.018734177,#DIV/0!,0.019996607,#DIV/0!,0.100087083,#DIV/0!,-0.004518393,#DIV/0!,0.009171587,#DIV/0!,-0.07902744,#DIV/0!,0.833699505,#DIV/0!
south,1981.5,4,0.199133194,0.371151869,0.022390589,0.012883324,0.018117033,0.026690115,0.242999142,0.354325024,0.002984712,0.023145815,0.031568424,0.046942698,0.082013796,0.091977796,-0.014255472,0.014127789,-0.012209094,0.00731702,-0.033755611,0.016703829,-1.58300149,2.778061386
south,1982.5,9,0.316307305,0.285800703,0.058106245,0.02971876,-0.012258042,0.014395014,0.069847729,0.210249863,-0.00775649,0.015655097,-0.025585342,0.042265569,0.048670609,0.045879048,-0.021728932,0.009439031,-0.010079481,0.004668511,-0.020480954,0.009271103,-1.861240976,1.231003818
south,1983.5,29,0.452684287,0.138887986,0.013305892,0.020360266,-0.011255619,0.006490514,0.276705999,0.089923964,0.009886814,0.008465568,0.031356921,0.016914709,0.089073213,0.025004488,0.002281711,0.005963661,0.001633376,0.004912154,-0.01165037,0.004386163,0.349611995,0.394915769
south,1984.5,28,0.401970515,0.116040279,0.01365618,0.017527752,-0.001703424,0.006902492,0.256320239,0.067473319,0.001602891,0.006293782,0.016121718,0.014333657,0.08761396,0.026604309,-0.000254662,0.005637324,0.00353124,0.004522851,-0.01230497,0.003709245,0.094712517,0.293423776
south,1985.5,31,0.297337032,0.10104263,0.01396987,0.011233948,-0.006716508,0.006005561,0.147522803,0.059611194,0.004060926,0.005712152,0.013161104,0.012669589,0.065150664,0.020940319,-0.003551774,0.005618365,0.000494919,0.002825823,-0.003683036,0.003259812,0.082716127,0.312979791
south,1986.5,37,0.278253938,0.087731206,0.00118907,0.016744365,-0.011378377,0.006607345,0.225802957,0.05722692,0.006822211,0.004937146,0.026318648,0.010804784,0.061362751,0.016963796,-0.002264194,0.004951323,-0.001269889,0.004559421,0.000907472,0.003491056,0.540669082,0.332078114
south,1987.5,40,0.253922086,0.085297687,-0.01578601,0.024042097,-0.000438417,0.005828571,0.221463856,0.07356641,0.00744242,0.004698365,0.027339186,0.010683477,0.064850262,0.017439869,0.005415926,0.004662697,0.006207269,0.003851847,0.003287277,0.003801202,0.606417098,0.287637906
south,1988.5,45,0.209853457,0.09870997,-0.003704227,0.025353151,-0.005678505,0.0066872,0.192061915,0.069898274,0.006686977,0.005347541,0.022805502,0.012441419,0.04616695,0.018879933,0.007470226,0.004728489,0.002250218,0.003508354,0.003410849,0.005040615,0.489777859,0.277725401
south,1989.5,47,0.192589985,0.110072566,-0.00168888,0.02307935,0.000148069,0.00527067,0.189616374,0.097792095,0.00704774,0.004886734,0.025680882,0.01188861,0.044646428,0.01684597,-0.000112706,0.004135658,0.0027047,0.002748962,0.005106428,0.004555673,0.497801301,0.272132549
south,1990.5,49,0.256627802,0.139184591,0.002623935,0.019282471,0.00026723,0.005689274,0.155848248,0.097028011,0.005746217,0.005678188,0.019032354,0.012643018,0.063718496,0.024357422,-0.001944699,0.004432318,0.000265209,0.002507186,0.003980366,0.004243155,0.200232406,0.284686841
south,1991.5,77,0.548914129,0.151554573,0.026522571,0.013363876,-0.006740446,0.004529246,0.268467229,0.111324955,0.020106254,0.006403191,0.045718446,0.013008322,0.075672039,0.014833828,-0.007436379,0.003239622,-0.001327902,0.002265615,0.002273389,0.003256672,0.663540603,0.246409343
south,1992.5,122,0.459073288,0.124268672,-0.035748521,0.009523958,-0.015524844,0.003857031,0.332548823,0.107789837,0.010390289,0.005064977,0.025013135,0.010864694,0.055282306,0.013323006,0.000100498,0.002726038,0.000926561,0.001957398,-0.00082039,0.002919888,0.108778903,0.197673033
south,1993.5,147,0.017245243,0.117342176,-0.018083768,0.008968172,-0.003230143,0.002942613,-0.095849995,0.093010388,0.001279628,0.004669302,0.004163463,0.009717884,0.008951817,0.011445984,-0.002876131,0.002430622,0.002459071,0.001615889,0.000639798,0.002238999,-0.14907062,0.187017148
south,1994.5,176,0.118126082,0.101119112,-0.012541709,0.007373913,-0.009310543,0.00228708,-0.064922286,0.079031574,0.0031923,0.00327178,0.009029836,0.00684918,0.011756804,0.010278396,-0.004593993,0.001869212,0.000810456,0.001337895,0.000673173,0.00160874,-0.087371269,0.138052066
south,1995.5,246,0.101633299,0.090395895,-0.002256181,0.006841755,-0.013313906,0.002556994,-0.091666145,0.069462891,0.000109568,0.00314301,0.00407914,0.00643404,0.002159121,0.009739152,-0.000225369,0.001894583,0.00033419,0.001308336,0.006169589,0.001795924,0.066871002,0.12853776
south,1996.5,291,0.172819014,0.074390954,0.011688172,0.005361035,-0.008835709,0.001850387,-0.145982442,0.062635204,-0.00263445,0.002619825,-0.003174502,0.005357735,0.009857342,0.007919334,-0.000712873,0.001702703,0.000264146,0.001084434,0.00360288,0.001373157,0.028838783,0.101936453
south,1997.5,304,0.360591391,0.063209214,0.00311367,0.004994328,-0.008115518,0.001578389,0.112980969,0.059186334,-0.001133157,0.002565514,0.003598677,0.005181227,0.017276732,0.005010171,0.001519654,0.001650712,-0.000374,0.000862263,0.002032277,0.001451897,0.050534217,0.09928834
south,1998.5,322,0.43432736,0.059527305,0.003131011,0.004831686,-0.007223793,0.001465988,0.168482966,0.053722545,-0.00046144,0.002327444,0.00446533,0.004907432,0.024314349,0.00516509,0.001963407,0.001356103,-0.001381458,0.000724346,0.002332808,0.001114829,0.169539384,0.096560726
south,1999.5,345,0.5011066,0.066899259,0.00324551,0.004761021,-0.009135165,0.001497342,0.258683746,0.064028525,0.000308673,0.002403557,0.009416001,0.005204188,0.032171791,0.004701608,0.00186556,0.001244645,-0.003089418,0.000671873,0.002492591,0.001157397,0.211412409,0.101769069
south,2000.5,344,0.468203143,0.062341321,0.001853056,0.004461694,-0.010685624,0.001403552,0.211192324,0.05988496,-0.000181352,0.002387932,0.00630862,0.005195323,0.03460431,0.004693015,0.002471774,0.001237051,-0.002985269,0.000679891,0.003149072,0.001209365,0.177364543,0.103275078
south,2001.5,338,0.463378839,0.067567369,-0.000636219,0.004294799,-0.005774135,0.001374325,0.247343799,0.064042024,0.00219738,0.002424351,0.011195114,0.005278564,0.037533452,0.005103358,0.003544111,0.001238317,-0.002323266,0.000687316,0.003362281,0.001260056,0.334972458,0.107437483
south,2002.5,335,0.517193042,0.064437281,-0.012569395,0.004394681,-0.003666721,0.001255299,0.330745992,0.0545112,0.003681579,0.0021564,0.015981666,0.004540845,0.032764555,0.005705734,0.00421542,0.001171079,-0.002213312,0.00062934,0.001741173,0.00102587,0.451406038,0.088625315
south,2003.5,331,0.59060237,0.057359828,-0.006703893,0.004124519,-0.002433543,0.001179175,0.39392725,0.051819554,0.001869095,0.002110021,0.01385229,0.004516978,0.037501094,0.005297963,0.003126373,0.00107551,-0.001831027,0.000528226,-0.000233651,0.000927856,0.308925801,0.082292415
south,2004.5,339,0.606271476,0.06186518,0.006705969,0.004886974,-0.00312575,0.001248045,0.211854395,0.051523755,0.003256076,0.00226686,0.012695658,0.004733862,0.032691387,0.006640572,-0.00158177,0.001103404,-0.002001584,0.000723547,-0.001218319,0.001093258,0.342613935,0.095555129
south,2005.5,370,0.4396366,0.063482533,0.007002809,0.004676423,-0.007402597,0.00125637,0.090742179,0.045572792,0.000140394,0.002249339,0.006504773,0.004705613,0.016752133,0.005701875,-0.002111583,0.00109349,-0.002699485,0.000746012,0.000349624,0.001086197,0.114170048,0.085288046
south,2006.5,456,0.244937144,0.066695318,0.015849715,0.004265777,-0.010876887,0.001323087,-0.085887883,0.049630692,-0.001904945,0.002329022,0.001445692,0.004853247,0.013780522,0.00540505,-0.00277776,0.001009437,-0.003028387,0.000709703,0.000581391,0.001036902,0.053642616,0.095135126
south,2007.5,537,0.433213969,0.064055166,0.024433212,0.003535961,-0.009734922,0.001075329,0.001303036,0.042308426,0.000253089,0.001849237,0.00497151,0.00391863,0.025302298,0.004862002,-0.004733759,0.000853904,-0.001959332,0.000634517,0.00017991,0.00086261,0.221290309,0.082335173
south,2008.5,559,0.426846902,0.055105826,0.024711842,0.003264998,-0.008283467,0.000944586,0.01586805,0.03667254,-0.001040751,0.001621424,0.000453101,0.003427286,0.024397862,0.00412899,-0.002781394,0.000744153,-0.001835387,0.000509673,0.001248262,0.000712546,-0.003304024,0.068643481
south,2009.5,582,0.323295969,0.049530262,0.022256712,0.002896329,-0.00512906,0.001019917,-0.012035773,0.034543902,-0.000909875,0.001505635,-0.000818769,0.003174499,0.021194656,0.003556974,-0.002280348,0.000681389,-0.001714103,0.000459927,0.00097654,0.000664116,-0.096321597,0.062104924
south,2010.5,611,0.275024742,0.042524879,0.018388574,0.002663714,-0.008115581,0.000845657,-0.015343466,0.031483771,-0.001226997,0.001303843,-0.001401095,0.002760201,0.019544816,0.003153816,-0.00217386,0.000613352,-0.001549565,0.00041114,0.000480339,0.000609769,-0.15844195,0.059077291
south,2011.5,632,0.155698014,0.046305349,0.011301818,0.002636592,-0.00294748,0.00089916,-0.013885086,0.032078335,-0.000543946,0.00125153,0.000585283,0.002688228,0.017575823,0.003097012,-0.000567052,0.000619529,-0.001645122,0.000366037,0.001920287,0.000584494,-0.042810548,0.056825356
south,2012.5,624,-0.019480341,0.044606093,-0.002442829,0.002600326,-0.002325998,0.000830697,-0.007056141,0.036603756,0.001441569,0.001377855,0.004132136,0.003050471,0.011889434,0.003319762,0.001399904,0.000648388,-0.001936261,0.000381606,0.002709546,0.000585816,0.087907652,0.061187545
south,2013.5,604,-0.072832719,0.047242144,-0.004754385,0.002663709,-0.002461891,0.000813168,-0.034426957,0.039651318,0.000569162,0.001534309,0.001679763,0.003321629,0.007440093,0.003510094,0.002384235,0.000686489,-0.001153739,0.00041433,0.002990485,0.000701434,0.038431827,0.068618386
south,2014.5,574,-0.131609381,0.053166574,-0.009489147,0.00305758,-0.003130808,0.000969106,-0.035633447,0.044477893,0.000409936,0.001757355,0.00166804,0.003824677,0.002821898,0.003539929,0.003833112,0.000759066,-0.000410444,0.00043589,0.002178068,0.0007986,0.0193987,0.080642422
south,2015.5,496,-0.165552019,0.061124788,-0.017052048,0.003673705,-0.003289903,0.001159278,-0.00473262,0.050258517,0.001482417,0.002019182,0.002753225,0.004354094,0.002986627,0.00416229,0.004535077,0.000902026,-0.000685554,0.000520327,0.002206227,0.000964189,0.038864705,0.088999964
south,2016.5,381,-0.349140623,0.089491168,-0.032880161,0.004390149,-0.00570191,0.001416974,0.020038485,0.070549847,0.005356177,0.0025028,0.01253668,0.005532719,-0.003019359,0.005575661,0.00627314,0.001182354,-0.001451175,0.00070031,0.003556126,0.001288832,0.283191165,0.116900934
south,2017.5,292,-0.436848142,0.105217217,-0.038790968,0.005514989,-0.009548154,0.001874371,-0.093744663,0.095160098,0.008436763,0.003324217,0.018188779,0.007138225,-0.002328182,0.0069013,0.006605693,0.001544603,-0.000730823,0.000872886,0.003355663,0.001688904,0.602490581,0.148972854
south,2018.5,139,-1.105077741,0.101938827,0.00135016,0.00834472,-0.029196339,0.003219674,-0.786119003,0.103546764,0.001722208,0.004079339,-0.007734122,0.009102438,-0.02599637,0.010224716,-0.001143555,0.002263677,0.001018746,0.001135968,0.006853727,0.002544341,0.794975192,0.213419582
south,2019.5,125,-0.961374394,0.137873516,0.013043389,0.009072031,-0.057424184,0.004463207,-0.649455459,0.125305919,0.006531151,0.005472635,0.004045816,0.012593814,-0.017051739,0.014299558,0.002293557,0.002963753,0.000150467,0.001618077,0.00505727,0.003443703,0.6561813,0.292681701
