"StartYear","country","TaskID"
2006,"Germany",201
2006,"UK",202
2006,"Ireland",203
2006,"Norway",204
2006,"Italy",205
2006,"Hungary",206
2006,"Portugal",207
2006,"Netherlands",208
2006,"Finland",209
2006,"Latvia",210
2006,"Belgium",211
2007,"France",212
2007,"Estonia",213
2007,"Spain",214
2007,"Sweden",215
2007,"Luxemburg",216
2007,"Bulgaria",217
2007,"Denmark",218
2007,"Germany",219
2007,"UK",220
2007,"Ireland",221
2007,"Norway",222
2007,"Italy",223
2007,"Hungary",224
2007,"Portugal",225
2007,"Austria",226
2007,"Netherlands",227
2007,"Finland",228
2007,"Latvia",229
2007,"Belgium",230
2008,"France",231
2008,"Estonia",232
2008,"Spain",233
2008,"Sweden",234
2008,"Luxemburg",235
2008,"Bulgaria",236
2008,"Denmark",237
2008,"Germany",238
2008,"UK",239
2008,"Ireland",240
2008,"Norway",241
2008,"Italy",242
2008,"Hungary",243
2008,"Portugal",244
2008,"Austria",245
2008,"Netherlands",246
2008,"Finland",247
2008,"Latvia",248
2008,"Belgium",249
2009,"France",250
2009,"Estonia",251
2009,"Spain",252
2009,"Sweden",253
2009,"Luxemburg",254
2009,"Bulgaria",255
2009,"Denmark",256
2009,"Germany",257
2009,"UK",258
2009,"Ireland",259
2009,"Norway",260
2009,"Italy",261
2009,"Hungary",262
2009,"Portugal",263
2009,"Austria",264
2009,"Netherlands",265
2009,"Finland",266
2009,"Latvia",267
2009,"Belgium",268
2010,"France",269
2010,"Estonia",270
2010,"Spain",271
2010,"Sweden",272
2010,"Luxemburg",273
2010,"Bulgaria",274
2010,"Denmark",275
2010,"Germany",276
2010,"UK",277
2010,"Ireland",278
2010,"Norway",279
2010,"Italy",280
2010,"Hungary",281
2010,"Portugal",282
2010,"Austria",283
2010,"Netherlands",284
2010,"Latvia",285
2010,"Belgium",286
2011,"France",287
2011,"Estonia",288
2011,"Spain",289
2011,"Sweden",290
2011,"Luxemburg",291
2011,"Bulgaria",292
2011,"Denmark",293
2011,"Germany",294
2011,"UK",295
2011,"Ireland",296
2011,"Norway",297
2011,"Italy",298
2011,"Hungary",299
2011,"Portugal",300
2011,"Austria",301
2011,"Netherlands",302
2011,"Belgium",303
2012,"France",304
2012,"Estonia",305
2012,"Spain",306
2012,"Sweden",307
2012,"Luxemburg",308
2012,"Bulgaria",309
2012,"Denmark",310
2012,"Germany",311
2012,"UK",312
2012,"Ireland",313
2012,"Norway",314
2012,"Italy",315
2012,"Hungary",316
2012,"Portugal",317
2012,"Austria",318
2012,"Netherlands",319
2012,"Belgium",320
2013,"France",321
2013,"Estonia",322
2013,"Spain",323
2013,"Sweden",324
2013,"Bulgaria",325
2013,"Denmark",326
2013,"Germany",327
2013,"UK",328
2013,"Ireland",329
2013,"Norway",330
2013,"Italy",331
2013,"Hungary",332
2013,"Portugal",333
2013,"Austria",334
2013,"Netherlands",335
2013,"Belgium",336
2014,"France",337
2014,"Estonia",338
2014,"Spain",339
2014,"Sweden",340
2014,"Bulgaria",341
2014,"Denmark",342
2014,"Germany",343
2014,"UK",344
2014,"Ireland",345
2014,"Norway",346
2014,"Italy",347
2014,"Hungary",348
2014,"Portugal",349
2014,"Netherlands",350
