,Respi_teg,Respi_gil,Respi_pls,Respi_spi,Respi_ves,ResisForm_egg,ResisForm_coc,ResisForm_hou,ResisForm_did,ResisForm_non,Disp_aquatic_passive,Disp_aquatic_active,Disp_aerial_passive,Disp_aerial_active,AquStag_egg,AquStag_larva,AquStag_nymph,AquStag_adult,LifCycDur_ls1yr,LifCycDur_1yr,Repro_ovo,Repro_fie,Repro_cie,Repro_fic,Repro_frc,Repro_vec,Repro_tec,Repro_ase,MaxBody_s1,MaxBody_s2,MaxBody_s3,MaxBody_s4,MaxBody_s5,MaxBody_s6,MaxBody_s7,WingPair_wnb1,WingPair_wnb2,WingPair_wnb3,WingPair_wnb4,WingPair_wnb5,PropDrif_drift1,PropDrif_drift2,PropDrif_drift3,FeedType_gra,FeedType_min,FeedType_xyl,FeedType_shr,FeedType_gat,FeedType_aff,FeedType_pff,FeedType_pre,FeedType_par,FeedType_oth
taxon_10368,0,0,0,1,0,0,0,0,1,0,0,0.5,0.5,0,0.285714286,0.428571429,0.285714286,0,1,0,0,0,0,0.6,0.2,0,0.2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.3,0.7,0,0,0,0
taxon_10370,0.666666667,0.333333333,0,0,0,0,0,0,0.5,0.5,0.333333333,0.333333333,0,0.333333333,0.333333333,0.333333333,0.333333333,0,1,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1,0.75,0.25,0,0.1,0,0,0.7,0,0,0,0.2,0,0
taxon_10377,0,0,0,1,0,0,0,0,0,1,0.6,0.2,0,0.2,0.333333333,0.333333333,0.333333333,0,1,0,0.2,0,0.2,0.6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.6,0.4,0,0,0,0,0,1,0,0,0,0,0
taxon_10400,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.333333333,0.333333333,0,0.333333333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.166666667,0.5,0.333333333,0.125,0,0,0.25,0.25,0,0,0.375,0,0
taxon_10479,1,0,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0.5,0,0,0.5,0.75,0.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.833333333,0,0,0.166666667,0,0,0,0,0,0
taxon_10491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taxon_10497,0,0,0,1,0,0,0,0,1,0,0,0.5,0.5,0,0.285714286,0.428571429,0.285714286,0,1,0,0,0,0,0.6,0.2,0,0.2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,0,0.5,0,0,0
taxon_10498,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.1,0,0,0,0.8,0.1,0,0,0,0
taxon_10525,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.1,0,0,0,0.7,0.2,0,0,0,0
taxon_10530,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.1,0,0,0.2,0.3,0.4,0,0,0,0
taxon_10540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taxon_10544,0.666666667,0.333333333,0,0,0,0,0,0,0.5,0.5,0.333333333,0.333333333,0,0.333333333,0.333333333,0.333333333,0.333333333,0,1,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1,0.75,0.25,0,0.1,0,0,0.7,0,0,0,0.2,0,0
taxon_10561,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.1,0,0.1,0,0.8,0,0,0,0,0
taxon_10591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
taxon_10597,0,1,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0.333333333,0.333333333,0,0.333333333,1,0,1,0,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0.636363636,0,0.181818182,0,0
taxon_10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
taxon_10605,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.333333333,0.333333333,0.333333333,0,1,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0,1,0,0,0,0.2,0,0,0.6,0,0,0,0.2,0,0
taxon_10612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taxon_10616,0.25,0.75,0,0,0,0,0,0.25,0,0.75,0.75,0.25,0,0,0.333333333,0.333333333,0,0.333333333,0,1,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
taxon_10619,0.25,0.75,0,0,0,0,0,0,0.5,0.5,0,0.333333333,0,0.666666667,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0.2,0.6,0.2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.833333333,0,0.166666667
taxon_10624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
taxon_10625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0.2,0.2,0,0,0.3,0,0
taxon_10626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0.2,0.2,0,0,0.3,0,0
taxon_10627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
taxon_10630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.8,0,0,0,0,0,0
taxon_10633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taxon_10635,1,0,0,0,0,0.25,0,0,0,0.75,0.25,0.5,0,0.25,0.5,0.5,0,0,0.75,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0.4,0,0,0,0,0
taxon_10650,0.25,0.75,0,0,0,0,0,0,0.25,0.75,0.4,0,0,0.6,0.4,0.6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_10656,0.6,0.4,0,0,0,0,0,0,0.666666667,0.333333333,0,0.5,0,0.5,0.25,0.375,0.375,0,0.75,0.25,0,0,0,0.5,0,0,0.5,0,0,0,0.75,0.25,0,0,0,0,0,0,0,1,1,0,0,0.8,0,0,0,0.2,0,0,0,0,0
taxon_10659,0.4,0.6,0,0,0,0,0,0,0,1,0,0.333333333,0.166666667,0.5,0.333333333,0.333333333,0.333333333,0,1,0,0,0,0,1,0,0,0,0,0,0,0.2,0.6,0.2,0,0,0,0,0,0,1,0.166666667,0.5,0.333333333,0.2,0,0,0,0,0,0.5,0.3,0,0
taxon_10663,0,1,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0.333333333,0.333333333,0,0.333333333,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0,1,0,0,0,0,1,0,0,0.166666667,0,0,0.5,0.333333333,0,0,0,0,0
taxon_10667,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0,0.333333333,0,1,0,0,0.75,0.25,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
taxon_10677,0.333333333,0.666666667,0,0,0,0.5,0,0,0,0.5,0,0.333333333,0.166666667,0.5,0.5,0.5,0,0,1,0,0,0,0.25,0.75,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,1,0,0,0,0.25,0.75,0.6,0,0,0,0.4,0,0,0,0,0
taxon_10682,0.333333333,0.666666667,0,0,0,0.5,0,0,0,0.5,0,0.333333333,0.166666667,0.5,0.5,0.5,0,0,1,0,0,0,0.25,0.75,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,1,0,0,0,0.25,0.75,0.5,0,0,0,0.5,0,0,0,0,0
taxon_10696,0.6,0.4,0,0,0,0,0,0,0,1,0,0.25,0.25,0.5,0.333333333,0.333333333,0.333333333,0,0.666666667,0.333333333,0,0,0,1,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,0,1,0.6,0.4,0,0.333333333,0,0,0.333333333,0.333333333,0,0,0,0,0
taxon_10697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taxon_10702,0.25,0.75,0,0,0,0.4,0,0,0.2,0.4,0,0.333333333,0.333333333,0.333333333,0.5,0.5,0,0,1,0,0,0.333333333,0.666666667,0,0,0,0,0,0,0.4,0.6,0,0,0,0,0,0,1,0,0,0.75,0.25,0,0,0,0,0,1,0,0,0,0,0
taxon_10708,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.375,0.375,0,0.25,0,1,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0
taxon_10709,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.375,0.375,0,0.25,0,1,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0
taxon_10710,1,0,0,0,0,0,0,0,0.75,0.25,0,0.666666667,0,0.333333333,0.5,0.5,0,0,1,0,0.75,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0,0,0,0.5,0.5,0,0,0,0,0
taxon_10713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taxon_10724,0,1,0,0,0,0.25,0,0,0,0.75,0.4,0.2,0,0.4,0.166666667,0.5,0.333333333,0,1,0,0,0,0.25,0.75,0,0,0,0,0,0,0.25,0.75,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.2,0,0,0.8,0,0
taxon_10725,0,1,0,0,0,0.25,0,0,0,0.75,0.4,0.2,0,0.4,0.166666667,0.5,0.333333333,0,1,0,0,0,0.25,0.75,0,0,0,0,0,0,0.25,0.75,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.2,0,0,0.8,0,0
taxon_10791,0,1,0,0,0,0.25,0,0,0,0.75,0.4,0.2,0,0.4,0.166666667,0.5,0.333333333,0,1,0,0,0,0.25,0.75,0,0,0,0,0,0,0.25,0.75,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.2,0,0,0.8,0,0
taxon_10897,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.2,0,0,0,0.5,0.3,0,0,0,0
taxon_10900,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.2,0,0,0,0.5,0.3,0,0,0,0
taxon_10905,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.222222222,0,0,0.111111111,0.444444444,0.111111111,0,0.111111111,0,0
taxon_10912,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.4,0,0,0,0.3,0.3,0,0,0,0
taxon_10914,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.4,0,0,0,0.3,0.3,0,0,0,0
taxon_10917,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.2,0.1,0,0,0.1,0.6,0,0,0,0
taxon_10924,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.222222222,0,0,0.111111111,0.444444444,0.111111111,0,0.111111111,0,0
taxon_10926,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.222222222,0,0,0.111111111,0.444444444,0.111111111,0,0.111111111,0,0
taxon_10927,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.222222222,0,0,0.111111111,0.444444444,0.111111111,0,0.111111111,0,0
taxon_10928,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.1,0,0,0,0.7,0.2,0,0,0,0
taxon_10930,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.1,0,0,0,0.7,0.2,0,0,0,0
taxon_10935,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.272727273,0,0,0,0.272727273,0,0,0.454545455,0,0
taxon_10938,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.1,0,0,0,0.8,0,0,0.1,0,0
taxon_10940,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.1,0,0,0,0.8,0.1,0,0,0,0
taxon_10942,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.083333333,0,0,0.166666667,0.25,0.333333333,0,0,0,0.166666667
taxon_10945,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.1,0,0,0.2,0.3,0.4,0,0,0,0
taxon_10946,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.1,0,0,0.2,0.3,0.4,0,0,0,0
taxon_10950,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.1,0,0,0.2,0.3,0.4,0,0,0,0
taxon_10952,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.1,0,0,0.2,0.3,0.4,0,0,0,0
taxon_10998,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.222222222,0,0,0.111111111,0.444444444,0.111111111,0,0.111111111,0,0
taxon_11010,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.3,0,0,0,0.7,0,0,0,0,0
taxon_11015,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.7,0,0,0,0.3,0,0,0,0,0
taxon_11016,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0,0,0,0.25,0.25,0,0,0,0,0.5
taxon_11020,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0,0,0,0.5,0.5,0,0,0,0,0
taxon_11026,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0,0,0,0.5,0.5,0,0,0,0,0
taxon_11027,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0,0,0,0.5,0.5,0,0,0,0,0
taxon_11028,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0,0,0,0.5,0.5,0,0,0,0,0
taxon_11030,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0,0,0,0.5,0.5,0,0,0,0,0
taxon_11053,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0,0,0,0,0.5,0,0,0.5,0,0
taxon_11054,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0,0,0,0,0.5,0,0,0.5,0,0
